title,title_furigana,title_en
BUSTER DRESS -バスタードレス-,ばすたーどれす,BUSTER DRESS
パスタの王国,ぱすたのおうこく,Regno Della Pasta
バスタブに乗った兄弟 〜地球水没記〜,ばすたぶにのったきょうだい ちきゅうすいぼつき,Basutabu Ni Notta Kyoudai Chikyuu Suibotu ki
ぱすてる,Pastel,
パステル家族,ぱすてるかぞく,The Pastel Family
hshsさせろ!!,はすはすさせろ,Hshs sasero!! (Hasuhasu sasero!!)
パズブレイク,Pus break,
パスポート・ブルー,PASPORT BLUE,
ハスラー・ザ・キッド,Hustler the kid,
ハスリンボーイ,Hustlin Boy,
パズル,Puzzle,
パズルゲーム☆はいすくーる,ぱずるげーむはいすくーる,Pazuru game Hi-school
バスルームのペペン,Pepen In Bathroom,
長谷部さんのいる野球部,はせべさんのいるやきゅうぶ,Hasebe san no iru yakyuubu
BUTTER!!!,ばたー,BUTTER!!!
バタアシ金魚,ばたあしきんぎょ,Bataashi kingyo
ハダカ侍,はだかざむらい,Hadakazamurai
はだかの林檎,はだかのりんご,Hadaka no Ringo
ハタキ,HATAKI,
畑健二郎初期作品集 ハヤテのごとく!の前,はたけんじろうしょきさくひんしゅう はやてのごとくのまえ,Hata Kenjiro early Works BEFORE Hayate the combat butler (Hayate no gotoku! no mae)
はだしのゲン,Barefoot Gen (Hadashi no Gen),
バター猫のパラドクス,ばたーねこのぱらどくす,Butter Cat Paradox
働かないふたり,はたらかないふたり,Hatarakanai Futari
働きマン,はたらきまん,Hataraki-Man
働き者がばかをみる,はたらきものがばかをみる,HATARAKIMONO GA BAKA WO MIRU
はたらく細胞,はたらくさいぼう,Hataraku Saibou
働く!バス娘,はたらくばすがーる,Hataraku! Bus girl
はたらく魔王さま!,はたらくまおうさま,Hataraku Maousama
パタリロ!,Patalliro,
パタリロ源氏物語,ぱたりろげんじものがたり,Patariro Genji Story
パタリロ西遊記,ぱたりろさいゆうき,Patariro Saiyuuki
8,はち,Hachi(2009)
BACHI-ATARI ROCK,ばちあたりろっく,BACHI ATARI ROCK
8♀1♂,はちいち,HachiIchi
8月アウトロー,はちがつあうとろー,Hachigatsu outlaw
8月のソーダ水,はちがつのそーだすい,Soda water of August
8月の光,はちがつのひかり,Hachigatsu No Hikari
バチガミ,Bachigami,
はぢがーる,Hadi girl,
8畳カーニバル,はちじょうかーにばる,Hachijou carnival
ハチのす大将,はちすのたいしょう,Hachi no su taishou
HACHI -東京23宮-,はち とうきょう23く,HACHI Tokyo 23ku
ハチナイ外伝 戦力外!カタトちゃん,はちないがいでん せんりょくがい かたとちゃん,Hachinai Gaiden Senryokugai Katato chan
バチバチ,BACHI BACHI,
バチバチBURST,ばちばちばーすと,Bachibachi BURST
はちみつカフェ,Honey cafe (Hachimitsu cafe),
ハチミツとクローバー,Honey and clover,
ハチミツにはつこい,Hachimitsu ni Hatukoi,
はちみつの花,はちみつのはな,Flower of honey
バーチャファイター,Virtua Fighter,
ハチワンダイバー,81diver,
バツ&テリー,ばつあんどてりー,BATUANDTERY
ばつ×いち,ばついち,Batsu Ichi
バツイチ30ans,ばついちとらんたん,Batsu Ichi 30ans
ハツカネズミの時間,はつかねずみのじかん,Hatukanezumi no jikan
バッカーノ! -1931 The Grand Punk Railroad-,ばっかーの 1931 ざぐらんどぱんくれいるろーど,BACCANO! 1931 The Grand Punk Railroad
バッカーノ!(藤本新太版),BACCANO!,
ハツカレ〜初彼〜,はつかれ,Hatu kare
魃鬼,ばっき,Bakki
葉月カノンは甘くない。,はづきかのんはあまくない,Hazuki Kanon wa amakunai
ハックス!,Hacks (Hakkusu),
バックステージ!,Back Stage,
Back Street Girls,ばっくすとりーとがーるず,Back Street Girls
BACK TO THE 母さん,ばっくとぅざかあさん,BACK TO THE Kaasan
×ゲーム,ばつげーむ,Batsu Game
はっけよい,Hakkeyoi,
八犬伝,はっけんでん,Hakkenden
初恋甲子園,はつこいこうしえん,Hatsukoi Koshien
初恋姉妹,はつこいしまい,Hatsukoi shimai
初恋症候群,はつこいしんどろーむ,Hatsukoi Syndrome
初恋スキャンダル,はつこいすきゃんだる,First Love Scandal
初恋ゾンビ,はつこいぞんび,Hatsukoi Zombie
初恋の世界,はつこいのせかい,Hatsukoi no sekai
初恋マジカルブリッツ,はつこいまじかるぶりっつ,Hatsukoi Magical Brizz
初恋モンスター,はつこいもんすたー,Hatsukoi monster
初恋限定。,はつこいりみてっど,First Love Limited. (Hatsukoi Limited.)
爆骨少女ギリギリぷりん,ばっこつしょうじょぎりぎりぷりん,Bakkotsu Shojo Girigiri Purin
パッサカリア〔Op.7〕,ぱっさかりあおーぴーせぶん,Passacaglia Op.7
はっさく!Twins,はっさくついんず,Hassaku!Twins
Vassalord.,ばっさろーど,Vassalord.
発症区,はっしょうく,Hasshouku
パッション・ガールズ,Passion Girls [Fujii Mihona],
パッション・パレード,Passion parade,
ハッスル,HUSTLE,
ハッスル拳法つよし,はっするけんぽうつよし,Hustle kenpou Tsuyoshi
ハッスルで行こう,はっするでいこう,Hustle de ikou
はっち・ぽっち,Hotch-Potch (Hacchi pocchi),
ばっちょんガールズ,BATCHON GIRLS,
バッテリー,Battery,
BAT×DRAGON,ばっとあんどどらごん,BAT &amp; DRAGON
BAD COMPANY,ばっどかんぱにー,BAD COMPANY
BADだねヨシオくん!,ばっどだね よしおくん,BAD dane Yoshiokun!
BAT DAYS,ばっとでいず,BAT DAYS
ハット・トリック,HAT TRICK,
BAD BOYS,ばっどぼーいず,BAD BOYS
BAD BOYS グレアー,ばっどぼーいずぐれあー,BAD BOYS GLARE
BAD BOY MEMORY,ばっどぼーいめもりー,BAD BOY MEMORY
パットマンX,ぱっとまんえっくす,Patman X
バットマン(桑田次郎版・少年画報連載),Batman (Shounen Gahou),
バットマン(桑田次郎版・少年キング連載),Batman (Shounen King),
バッドムーン,BAD MOON,
初音みっくす,はつねみっくす,Hatsunemikkusu
パーツのぱ,Parts no Pa,
ハッピー!,Happy!,
はっぴぃ亀亀,はっぴぃかめかめ,Happy Kamekame
はっぴぃ直前,はっぴいちょくぜん,Happy Chokuzen
はっぴぃでぃずあかでみぃ,HAPPY DAYS ACADEMY,
はっぴぃママレード。,Happy Marmalade,
はっぴぃマリア,Happy Maria,
HAPPY!,はっぴーうらさわなおき,Happy ! (by Naoki Urasawa)
ハッピーエンドではじめよう,Happy end de hajimeyou,
ハッピーシュガーライフ,Happy sugar life,
ハッピーとれいるず!,Happy Trails,
ハッピーピープル,Happy people,
ハッピープロジェクト,Happy Project,
HAPPY BOY ゲンキくんとゆかいな仲間たち,はっぴーぼーい げんきくんとゆかいななかまたち,HAPPY BOY
ハッピー・マニア,Happy Mania,
HAPPY★LESSON ママ先生は最高!,はっぴーれっすんまませんせいはさいこう,Happy Lesson : Mama sensei wa saikou
Happy World!,はっぴーわーるど,Happy World!
発明軍人イッシン,はつめいぐんじんいっしん,Hatsumei Gunjin Isshin
バディ,Bady],
PARTY,ぱーてぃー,PARTY
バディ・コンプレックス,Buddy complex,
バディ・コンプレックス 戦場のカップリング,ばでぃこんぷれっくす せんじょうのかっぷりんぐ,Buddy complex Senjou no Coupling
パティシエール!,Patissiere,
バディストライク,Buddy Strike,
バディスピリッツ,BUDDY SPIRITS,
バディドッグ,BUDDY DOG,
ハデー・ヘンドリックス物語,はでーへんどりっくすものがたり,HADER HENDLIX Story
破天荒遊戯,はてんこうゆうぎ,Dazzle
バーテンダー (Bartender),Bartender,
覇道,はどう,Hadou
ハートオブtheガール,はーとおぶざがーる,Heart of the girl
パート怪人 悪キューレ,ぱーとかいじんわるきゅーれ,Part Kaijin Valkyrie
ハートカクテル,HEART COCKTAIL,
ハートキャッチいずみちゃん,Heart Catch Izumi Chan,
ハートキャッチプリキュア!,Heart catch Precure!,
パト犬,ぱとけん,PAT-KEN
HARD COP,はーどこっぷ,HARD COP
鳩子のあやかし郵便屋さん。,はとこのあやかしゆうびんやさん,Hatoko no ayakashi yuubinyasan
heart sugar town(ハートシュガータウン),はーとしゅがーたうん,Heart sugar town
ばーどすとらいく!,Bird strike!,
パートナー,Partner,
ハートのA,はーとのえーす,Heart A
ハトのおよめさん,Hato No Oyome-san,
ハートボイルドパパ,HEART BOILED PAPA,
鳩町まめっこイグニッションズ,はとまちまめっこいぐにっしょんず,Hatomachi mamekko ignitions
BIRDMEN (バードメン),ばーどめん,BIRDMEN
ハトよ天まで,はとよてんまで,Dove! Fly up to Heaven! (Hatoyo Tenmade)
ハードラック,Hard Luck,
バトルガール,BATTLE GIRL,
バトルクラブ,Battle Club,
バトルサンダー,Battle Thunder,
バトルスタディーズ,Battle studies,
バトルストーリー ロックマンエグゼ,Battle story Rockman exe,
バトルスピリッツ少年突破バシン,ばとるすぴりっつしょうねんとっぱばしん,Battle Spirits shonen toppa Bashin
バトルスピリッツブレイヴX,ばとるすぴりっつぶれいぶえっくす,Battle Spirits Brave X
バトルフィッシュ,Battle Fish,
バトルフィーバーJ,ばとるふぃーばーじぇい,BattlefeverJ
バトルホーク,BATTLEHAWK,
バトル・ロワイアル,BATTLE ROYALE,
バトル・ロワイアル 天使たちの国境,ばとるろわいある てんしたちのこっきょう,BATTLE ROYALE Angels' Border
花,はな,Flower
花井沢町公民館便り,はないざわちょうこうみんかんだより,Hanaizawa-chou kouminkan dayori
ハナイロ,Hanairo,
花右京メイド隊,はなうきょうめいどたい,HanaUkyo Maido Team
花男,はなおとこ,Hanaotoko
ハナカク -The Last Girl Standing-,はなかく,HANA KAKU
花冠の竜の国,はなかんむりのりゅうのくに,Hanakanmuri no Ryuu no Kuni
花冠の竜の国 2nd,はなかんむりのりゅうのくに せかんど,Hanakanmuri no Ryu no Kuni
花冠の竜の姫君,はなかんむりのりゅうのひめぎみ,Hanakanmuri no Ryu no Himegimi
花コイ少年,はなこいしょうねん,Hanakoi Shounen
花子と寓話のテラー,はなことぐうわのてらー,Hanako and Teler
ハナコ@ラバトリー,はなこらばとりー,HANAKO @ LAVATORY
花さか天使テンテンくん,はなさかてんしてんてんくん,Hanasaka Tenshi Tenten kun
花ざかりの君たちへ,はなざかりのきみたちへ,Hanazakari No Kimitachie
花咲さんの就活日記,はなさきさんのしゅうかつにっき,Hanasaki san no Shuukatsu Nikki
花咲だより,はなさきだより,Hanasaki Dayori
花咲舞が黙ってない,はなさきまいがだまってない,Hanasaki Mai Speaks Out
花咲くいろは,はなさくいろは,Hana saku iroha
花咲くいろは Green Girls Graffiti,はなさくいろは ぐりーんがーるずぐらふぃてぃ,Hana saku iroha Green Girls Graffiti
花咲け乙女!,はなさけおとめ,"MISAKI,her one-sided LOVE"
花咲ける青少年,はなさけるせいしょうねん,Hana sakeru seishounenn
はなしっぱなし,Hanashippanashi,
花寿司の幸,はなずしのさち,Hanazushi no Sachi
花園メリーゴーランド,はなぞのめりーごーらんど,Hanazono Merry-go-round
花田少年史,はなだしょうねんし,History of Hanada (Hanada shounenshi)
花田留吉七転八倒 秋本治短編集,はなだとめきちしちてんばっとう あきもとおさむたんぺんしゅう,Tomekichi Hanada Shititen Battou
花束をください,はなたばをください,Hanataba o kudasai
はなたれ浄土,はなたれじょうど,Hanatarejoudo
華中華,はなちゃいな,Hana China
ハナチュウ,Hanachuu,
はなったれBoogie,はなったれぶぎ,Hanattare Boogie
花と泳ぐ,はなとおよぐ,Hana to oyogu
華と修羅,はなとしゅら,Hana to Shura
花とハリネズミ,はなとはりねずみ,Hana to Harinezumi
花とみつばち,はなとみつばち,FLOWER AND BEE (Hana to mitsubachi)
花と惑星,はなとわくせい,Flower and star
バナナのナナ,Banana no nana,
BANANA FISH(バナナ フィッシュ),ばななふぃっしゅ,Banana Fish
花にけだもの,はなにけだもの,Hana ni kedamono
花のあすか組!,はなのあすかぐみ,Hana no Asukagumi
花の宴,はなのうたげ,Flower party
花の騎士,はなのきし,Hana no Kishi
花の慶次〜雲のかなたに〜,はなのけいじ くものかなたに,Hana No Keiji
花の咲太郎,はなのさきたろう,Hana no sakitarou
花のささやき,はなのささやき,Hana no sasayaki
花のズボラ飯,はなのずぼらめし,Hana no Zuborameshi
花の大TOKYO剣豪列伝 藤太参ります!!,はなのだいとうきょうけんごうれつでん とうたまいります,Touta Mirimasu!!
